concatenated_bitstrings_1;concatenated_bitstrings_2;similarity_label;duration;tries
010010000001111010000010001001001011110101011010010011100101000011100100000001001111101010000000000111110011000001001100010110010001010001010000011000000110000101111001011011100010001000000110101000000000000010000100,11011001001001000000101000001111100100001000000111001110001000011001011000101110101100101011111010111110,001101100111001110010110111000001001100011010111111000101010000001101101,000111100110110000111011010010101000001110011001,01101000001001011000011101110100,100111111000000101000111,0000011111001011,011111010000001001100010,00010011,10100001,01000010,00000010,00010000;110011111011011000100101011010111000101011000000000010000101000000011110000000001000001000111010000100101011100000000000001101100000000101010100010011011010111010111000001001000101111110001000101001101000000101000100,0001010010001101011011110010101100010110101000011001011111101011010100011110100101010100101111101100100011011010110001001110010000100111,1111000011101111010101001010001000010000111001101011101010110001100010101010000000011111,1010001000000010010111100100000110011101000101100101100101010110,10111000110001100011110001000001,001101011000111011101010,011010001011000010000111,01001100,1010100000000110,00001010;1;0.011082172393798828;2
010000000101101010011011001100110100010001000100101010100000100000000011010000100000011011001000010010110010010101000110111100100010010001000001001100010100000011010000100100000000001101001010110110000110111100000101,1000000001011011001001000000100111111000001111100111101101000101001110011001011000101001110100111000010000011001,011110101111111101110001110000100000000000000101110000100100111111100001,0000001110101000111110010011111100010000011011100000010001110010,1101110111110100000010110001010110011010,11100110111010001000010100110111,001101000011100010100010,1111100000001010,0100000011111010,01100010,00010001;000000011000010110000011000001000100101000100001001100000001110010000001001110100100001110001101111010011000000110100011010110000110110111101011000000110100101100000110010111011010100001000010110010000101001000100100,000111000010110100000111110110110101101111110101011101101111010110101110100000111001110011001100100100000011001110000100,10001100101010110000000011010101011011011011100010111110101110010101111110101100,1111010100011000100101111011011001000111000101011111101101000000,0110010111100011000111011010011010010110,001010000001111111100010,0000010101110101,0010101001000010,00100000,00001000;1;0.015581369400024414;2
010100000000010100010000000100001100010001101000101001101111001110100000011110011011100010001000000101000010010010010010000000111100000111101010000110100000001000010101001011001011110000000010101100001000100100011001,001110100110101000101000110111110000010000001111010000011000110111001110001111001001101110011001,010111010100110100001010010111101010011101000001001100100001011110001001,1100110100111000111011111001101001100000,0001101001011000100000110100100010110100,11101100,011101000101010101011010,01000010,00000101,10100000,01000000;000110001000000000111000011100000100000000101000101001110111011111111101000110000001000100010000010010110000001000001001001000101001100010010111010110010111101100000000000001010110100100110000100010100001001010010110,010101010010110011011111110011100001101000101100000000111100100111001000001100111111011110100001,011100110000111101011111010101100010100000011100010010111010011010110100,00001001100100000110110011001110101001000011101111110110,10100010100111010111010000111110,1010000001111010001011001111010101100111,1001001100011001,0110100000100110,1011010001000110,00001100,00010010;1;0.009580135345458984;2
001101010000001000000001000101100010001010010101110011110001001011100100000111101000000000000000011110000000001100010110110001010011001110111000010110111010000110000100100011001011001000000001001011011000011010111010,110000011000010110010000100101000101010101011001110101110111110000110010110101000100111111111100,0101100111111110100011101110010000111100000010101111111010110100,010111101111001101001110011100100000111010000010,01101010011111011110110100000010,00110001000100111010101000001100,0001011000001011,01110110,10101100,00010000;001000100110100000101011111000100011011100011100010100000000000000001010000001000100110100110000101000000001010101111001101101000110001011001110000000001011000101001011100101000000010010100001100000101111000000101001,010100100100000011100111111000000000011101101010100111101001111000010101001101010000110110000111,1100111101111000110100011110101001110111110100000100101011000101,01101010011000101110010100001010111101010010010100110110,01101001111000001101001100010010,00011111010001110001001101000001,0001000011011100,00001100,11000001,00100000;1;0.010997295379638672;2
100011110101101011110011000100000001000000110101100100001110010010000100110010001010000001010001000000010010010101010101010010000010000100111100001010001101001010100101100010010110110000011010100110010100000000001000,00110111111111000011000000001001001000000001100101100101011001011111101100111111110111101001101000011010,100001110001110000100011000101000010110100000000000000111010101110101011,1010111100101000110001000110011100110010,11110000100010101001110001011100,0011011101000000,0000011110111101,1100000111000000,00111001,01110000,00010100;011000000000010100100011011101100000100100000010001000101000011110000111000000001000100000000000100101000010000000000011111001111101110000001000011111011000100000110110110011101001110000101000000100011101110101001000,0000000000011010000101011011100010010011011011000100111110110110100000101011111001011110011111110100110010100100,000011001010011100100001100101010010111101100001010000111011000001000111,111110001001001010110011111001000100000110000011,10110000011110110100101110100100,11010100100101110010100010000011,001001110110011010001100,0000000100011111,0101101000101000,10000010;1;0.010137319564819336;2
101100110100011000000110010000100010100011101100100000111100000001000001001000010000101011000000010110000100100100100000101000010100010011001011111111100001011000101110001110001101000000001000010100010101001000001101,1001001001011010100100111001111100011000010111111110011101110010101101000100010100100001101001010011010110000011,11011011011011010000010100010100110011101101011110101000010110010000000011010100,000100001011110100011100010011110000100101010111,1111010000101100011010000001100111000011,111010001000000011111000,001101000100110111110001,0000001100101010,1111000010001010,00110010,11000100;001100110000101010110011100000101101001110010110100001101100110010001010011010001000011010000000000111001010000001000000100010001101001101000001000101010000010000110000011000111000101101000010000001100000000001101111,100000101110111101100001001100110010110001101011011110001111111111100000101001110011000010100100010101010011100111101100,000011001010111011000101101101001100111111010100110001100010011110000010,0101010110101000101001110100010100011010110001100011010101010001,10101110100100011101100111010010,10010001101011011111000000000100,1000010011110010,0011001001100110,01110010,01000111,00100010;1;0.013213157653808594;2
001000001000101001100001000000001100110101000101000100100111001100000000011100010001101011000100101100111010000100010011000110101000101000111010010111011110100011000001101000010010100011000000000000111001011010010011,01010111011100010101110110001010011011000000100000000101011001100000100111010110011000110110111000010111,101011011100111110001001001101011011011000001111011010000010001001010001,000111010101001111100010100011000010110111101100,1101101100101100011101010001100001001100,011101000000011100111100,1110000010101101,01011011,11000001,00011010,00101010;011100110000011001000000111110010000110110000010100001010010100101101111100000110000010100010001001000010000101001000001001100000100010000011001101101100100100011000111000100000101011000100000100000100011000011001111,00111000110011001000111010111100111010100010100100011011011011111100011011000001100000010011101010001010,011011000111111100001010101000011011101001100111101011010011010000100000,110101110001010011110101101010000010001000111000,01011001111010001101100010001011,11101100000100011011001011001110,1100010001010110,1000000111100101,01000000,00000100;1;0.013096094131469727;2
100110001001000000010010010010101110100001001100001011100011000100000110101111010000000010001000110000100111000111100011011110010001011100011000000000001000010100001000000001001010000000010001001011010100110100110001,1001000111111001001101111011100110010010011001101001010010001111111011101110010100000010001110010110001001001011,11110101000011100110100100110110100000110101001100101101110010010110100001100100,01011011010001111100100001010000101011101110010001111101,1011000011011111111101000000010011010000,000111100110111100110111,000101000000011001010011,10011000,10001011,10111000,01001100,00000100;010001111000101000110010100110000000000000101001000000100001000001011101000001111101100010011000000000001000100011010010000100110001001101101100011000001000010000110011100000011110100100011001001000010101100100000000,110000100111000001101101001010011110010001000000010111011001111111110010010011101010001101101100,001011011011111010000100010101110010010110010110100010110001000100011101,00010011010001010011001110101010100010100111010101010100,11111010010010011101111000111000,01110111001000111101010011000100,1111110000000110,1001110101010111,00101101,1000111001010101,00100000;1;0.016129016876220703;2
100001010010000100100001100110100100000000001010001100010011101100110101000010101010000011110001010101011010100000111010010110010000100001000000000010110101111001111000101110010000110000010000000000000010001011000010,101000110110101100000001010010101011000100100001110110001100111011111000100101010101000111110011,0001110111000110101000101101100000110001011000101110011011010101111001011001111101101001,101000001111100000010101111110101010101000111100,1011011100110001011110000010111110010010,10110111100000001010111010011100,011000011110101100011000,0001100001100101,11011100,10101100,10000001,01101001,10001001;101011001000001000010001100110010010010101111000001001001000000000001111100110010001010000101000100010001110010100010100001110110001010100011000001101000011000000000001000010100100111100100111001001101001000011000111,001000001100110100101111101000111101110110001010001011100111000000001011010000010011000110000111011110100110011010011100,00011011000100001100011100010010000000000101111011110001000001010010110010011110,10001010000110010111000100100111010010001011001101001001,00000100110100001000101111011001,01111001011110111111010010000000,1100101110001010,0110111011000000,10000000,00100001,00000100;1;0.013104677200317383;2
110011000100000111101100001010000001010001110101000010000000100100100100100100101010100110000011100000110001000011000100110111101000001010110000001110001110010000111000011010011000101000110001000110111011110011100010,111010000111000010000111110010000110011110101100010110011010100101110101111000111101110001001001010111010100101100001100100100101110100000111110,01011010111010011011001011000010100101110110100010000011101011010001111000110111,111111101001101100000100011100000110001000101011001000101111110010001101,0101001000011000110000010111000111100010,101110011000010111000000,0001110001000101,01100011,0011001010100010,00000100;101011010110000011001000110010010001001001001011000111000110101011100000110000010000001011100010010100010000000110100110100000001000101010001001000000010010011011001011011000011101001001101101001000001111111010000001,00001110100001000110100001010110111100110010100100100001111001111010000111010000000010100011111111111000110010111001010011111010,001000010000001011100011100100111010011011010010101110001011101110111101,00101001110001011000110111011001100101110101000100110100,0101011001101001111100010000010000101101,011011000000011110010011,011010000100001001001110,00010100,01010001;1;0.02324843406677246;2
