concatenated_bitstrings;num_included;num_excluded;duration;tries
001000010001100110011001001010100010101100100001100001010010000000111101010001001011100001100001001100001101011111100100000011100001100110100010100000101010101101011010010001000000000001010101001011101100000001100010,1110101100110100101100010101100011100100011110111011010010010000000011001001100010011011010010011011101110111110,10000111110101110111101010010010100111101110101010001011000101000000111001001010,00110001110101000000001101010101100100100101000011111110,0111110100010010000011001010010010111101,010100110000111000001111,0001110001000110,0001010100000110,11000100,00000001;50;100;0.0055544376373291016;1
001010110000101100111000110100010000100000000000011101000010000001010100111110101011100110001110000101010001000000010100111001100110001001100110100011110100101001000011000000001001001000010110010111001000110001100010,000001001111011010000011111111010111000000010000011111010010001110010100110100001011100100100010101101110100100101100101,110001101110010000111101010110000000111101110011100000110101000010100000,10100011010101100001010010110100000100100001111111010011,0010010001001101110101000101100100100011,10011000100111001011010000100001,1010011100100100,0010110010111010,00001100,10000000;50;100;0.008038759231567383;1
100101010010100000100000001001000100111011000100101010010000010011011001000000000000000001000000000100000110110100000110001011100010101011001100000100000000101110101011010100000100110100111010101010010000000111001001,0111110101110101100101100100100000110100111000011000001010110101010110101000001000100100101100001010010100001111,00100101100010110011011000100010000001010100011011110001011100011111001110100010,111000100101100011001100111001000100000101101111,01101000110011011110101101010100,100001100010000010001000,01100101,11100011,00000111,00100000;50;100;0.008086919784545898;1
011010110001100001100110110000011111010101110000000000000111001010000000000001001011011001100010101010100110100100011001000010000001001000100000100000101001010100110111001010010001111100100100000000110110010010011000,10000001101000111010110001100110000010011011011110101011000100000110101110011011001010101100110001111100,110001011010000011101000100001110100011011100000111010000010101001001110,011000101100100101111110100101000110110110001011,100000100111100010101110100110011111100111011100,0010001100100010000011110011010001010011,111010100010100110110000,100001011011100011000111,11100001,1100001011110100,01011000,00011010;50;100;0.007092714309692383;1
000010000000001001000100101000001010010100010101111011001011111100100100010000000000010000101000110001100000000000110010111000010010111000100100000001000101110001000000101010011000000010001000111001110100011000011111,11100111000111001100100011100001100101111100110000111111010000011011100010010001,00111100000011011110010001101100111101111101001100101011000110100000010111001000,1110110011101111001011011010111101000000,00011000111010100110101000001101110111011100100100101010,000000000011110100001101,001100000011001100001111,1010000101000010,01101001,01000001,00000100;50;100;0.007088422775268555;1
001000001011010000000000011001110000000000100011100000001101010101100100011100001001011000100000101100001011111100011011110001011011100111000000111000010000100001110011000101001000011000101001000111001000000000000001,11001000110010011001000110110001101101010000001001111010111011110011111001001001110010000111011111111111,0000000010110011011101010111111001010010000010011101011101001010000000010110101010111010,11111101000001101000100100001111100101110011010101010000,10011111101001101011110010000111,1000011110000010101010111000011110100100,1001000011101010,000001100100011011100111,10111010,1101101010000011,01011011,1010000110010000,10000000,00010001,00100000;50;100;0.0050389766693115234;1
010100011010110111000011011000000011000100100001110000010000100100001001001100001010010001100010100110000010110010100100001101011000001100011101100000010000100010111000100000001000100000001001010011010000010001011000,110101100100111000000001110101011110001001100010000010011111111010001001011100100010111000011011,101100010110011110011001100001010111001001101100111111001001000010010001,101001000000111001100011011001010000111101111010,0011101111001110101110001000010101011000,00001001011101101100100001111000,010100100001111100111010,0100010110111101,0011010011010001,00111000,00001100,11000000,00000001;50;100;0.00499415397644043;1
001011001110001001111001111011100010100000111001000001000100100110010000000000000101101010100001000100001101010010100100000110010100000110000010100111001100010010011000100010000010001010100101111111000100000000100010,10111100011011110101000011010001100001110110001101010011001010000101101001100100011001011010011011011001,010011111101110000001010011100010101110111001101001110011110100010100010,0000011100001101000101011011100011001011101100000101111110011101,000111100100110010011000110010001000001100011011,101110000000100011110010,0110101000100110,0110001000010110,00100001,00000001,01001000;50;100;0.00499415397644043;1
101101010110110001010101101001101010110010110101111000000110000000100111010011000011010000010101100000010100100100000010010110100100000001100001001010000010000010100110010000001101010011100001000100011111001101000101,0100010111110000011101000110001101110110001001010011100110001101010011010010101011100101100101010110110001011010011110110011100001110010,0111001000111000110011001111010100001001001110111101001000101100,01111110000110100000110001000110101001010010111000101011,10001101101111001011010110100011,111001010101010111000100,000100100010100101011010,1101000011011010,0001010011011000,00110100,00010000,00000100;50;100;0.005010843276977539;1
101000001110000101110010001000101000111011010000101000110100010111000101110110110101000000101010001101100000100000011000010100010100001010000101000001010101001001010111010011000101000000101001010010001000100000101101,101000001101000010111001011100011011000110000100111000101110100100100010011101111100100110110110101011111000000001000101,001100101010000110011101101100111011101001110000111111011100100010110100,111100011111100111111100011100100001011001011111100111000000001101100110,1100111011000111011111110000100010010100,1101100010010001110010101111001011100101,10000010101010101111000100011001,100111010001000011100010,1010110011000101,0000101011111110,10110011,10101100,00110000,01000100,00000100;50;100;0.006024837493896484;1
