r;s;rhat;p;k;duration;bitsize
10000;20000;10000;0.02;1;0.09960293769836426;96548.0
10000;20000;10000;0.06;1;0.11340951919555664;82960.0
10000;20000;10000;0.04;1;0.11466860771179199;88032.0
10000;20000;10000;0.14;1;0.1091301441192627;72496.0
10000;20000;10000;0.1;1;0.12107646465301514;76836.0
10000;20000;10000;0.08;1;0.11719107627868652;79228.0
10000;20000;10000;0.12000000000000001;1;0.12733399868011475;73840.0
10000;20000;10000;0.16;1;0.12818098068237305;70768.0
10000;20000;10000;0.18;1;0.11382758617401123;68996.0
10000;20000;10000;0.19999999999999998;1;0.12478911876678467;67612.0
10000;20000;10000;0.21999999999999997;1;0.1283433437347412;66700.0
10000;20000;10000;0.23999999999999996;1;0.13622808456420898;65468.0
10000;20000;10000;0.25999999999999995;1;0.13452410697937012;64436.0
10000;20000;10000;0.27999999999999997;1;0.13117456436157227;63404.0
10000;20000;10000;0.3;1;0.14729547500610352;62320.0
10000;20000;10000;0.32;1;0.14420294761657715;61460.0
10000;20000;10000;0.34;1;0.14394116401672363;60720.0
10000;20000;10000;0.36000000000000004;1;0.14071667194366455;60684.0
10000;20000;10000;0.38000000000000006;1;0.14338207244873047;59420.0
10000;20000;10000;0.4000000000000001;1;0.13962066173553467;59448.0
10000;20000;10000;0.4400000000000001;1;0.16618359088897705;58360.0
10000;20000;10000;0.4200000000000001;1;0.1547379493713379;58592.0
10000;20000;10000;0.48000000000000015;1;0.19318997859954834;57780.0
10000;20000;10000;0.46000000000000013;1;0.19507622718811035;58060.0
10000;20000;10000;0.5000000000000001;1;0.15825164318084717;57664.0
10000;20000;10000;0.5200000000000001;1;0.15515577793121338;57272.0
10000;20000;10000;0.5400000000000001;1;0.16705453395843506;57344.0
10000;20000;10000;0.5600000000000002;1;0.16271460056304932;57208.0
10000;20000;10000;0.5800000000000002;1;0.17222082614898682;57816.0
